租金,押金,户型,面积,朝向,楼层,装修,类型,小区,街道,房屋编码,更新时间
1450,付3押1,1室1厅1卫,39平方米,朝南,高层(共6层),简单装修,普通住宅,振宜里,河北 铁东路街,3111806583480321,2023年07月16日
2400,付3押1,2室1厅1卫,42.5平方米,朝东,高层(共7层),简单装修,普通住宅,珠波里,河西 越秀路,3100304957170694,2023年07月16日
1800,付3押1,1室1厅1卫,43.2平方米,南北,高层(共7层),简单装修,普通住宅,荣兴温泉公寓,河东 大直沽,3114772456315910,2023年07月16日
2500,付3押1,2室1厅1卫,31平方米,朝东,中层(共7层),简单装修,普通住宅,积庆里,河西 大营门,3112065656495106,2023年07月16日
3200,付3押1,1室1厅1卫,53平方米,东南,低层(共32层),简单装修,普通住宅,吉利花园,和平 南营门,3114669214768140,2023年07月16日
1620,付3押1,1室1厅1卫,49平方米,朝南,高层(共6层),简单装修,普通住宅,佳宁里,红桥 双环邨街,3111636997020686,2023年07月16日
1800,付3押1,2室1厅1卫,53.9平方米,朝东,高层(共6层),简单装修,普通住宅,日远里,河北 鸿顺里街,3111696161643535,2023年07月15日
1400,付3押1,1室1厅1卫,36.9平方米,朝东,中层(共8层),简单装修,普通住宅,新城小区,河西 挂甲寺,3113399710048265,2023年07月16日
1900,付3押1,1室1厅1卫,38平方米,南北,高层(共6层),简单装修,普通住宅,堤东里,南开 王顶堤,3111828111942662,2023年07月16日
1600,面议,1室1厅1卫,43.2平方米,西北,高层(共7层),简单装修,普通住宅,宫前园,河东 大直沽,3114750725185547,2023年07月16日
1300,面议,3室2厅1卫,70平方米,朝南,共5层,简单装修,其他,香港建鑫城, ,3113027991068684,2023年07月16日
1700,付3押1,1室1厅1卫,41平方米,朝南,高层(共8层),简单装修,普通住宅,新城小区,河西 挂甲寺,3045411074628616,2023年07月16日
8500,付3押1,1室0厅1卫,47.1平方米,南北,共3层,精装修,普通住宅,马场道小区(40-56号)(和平),和平,3022821415034885,2023年07月16日
2000,付3押1,1室1厅1卫,46平方米,朝东,高层(共6层),简单装修,普通住宅,义兴里,南开 万兴街,3113293774267397,2023年07月16日
1650,付3押1,1室1厅1卫,24.9平方米,朝南,中层(共6层),简单装修,普通住宅,临平里,南开 向阳路,3039819496955905,2023年07月16日
1400,付1押1,1室1厅1卫,33平方米,朝南,高层(共6层),简单装修,普通住宅,靖泰里,河东 常州道,3112108420619269,2023年07月15日
870,付1押1,1室1厅1卫,43平方米,朝南,共5层,简单装修,普通住宅,光明里(津南),津南 咸水沽,3111687769891846,2023年07月16日
1800,付3押1,1室1厅1卫,34.9平方米,朝南,中层(共8层),简单装修,普通住宅,红波里,河西 越秀路,3114721525669897,2023年07月16日
1800,付3押1,1室1厅1卫,61平方米,东西,中层(共6层),简单装修,普通住宅,佳宁里,红桥 双环邨街,3111855921667084,2023年07月16日
1250,年付押1,1室1厅1卫,70平方米,南北,高层(共11层),简单装修,普通住宅,金河家园,东丽 大毕庄镇,3114556898549775,2023年07月16日
1300,付3押1,1室1厅1卫,69.8平方米,南北,高层(共6层),简单装修,普通住宅,万新公寓,东丽 程林街,3111908194917391,2023年07月16日
1300,付3押1,2室1厅1卫,86平方米,南北,高层(共6层),简单装修,普通住宅,安达里(滨海),滨海,3111924800871432,2023年07月16日
3500,付3押1,2室2厅1卫,53.2平方米,朝北,低层(共6层),简单装修,普通住宅,港建里,河西 大营门,3114620753714179,2023年07月16日
1800,付3押1,1室1厅1卫,40.3平方米,朝南,低层(共6层),简单装修,普通住宅,西园南里,河西 友谊路,3113188418347014,2023年07月15日
1300,半年付押1,2室1厅1卫,89平方米,南北,中层(共6层),简单装修,普通住宅,华盛里(东丽),东丽,3114664631854095,2023年07月16日
1600,付3押1,1室1厅1卫,57.4平方米,南北,中层(共6层),简单装修,普通住宅,长平西里,红桥 丁字沽街,3114546388673537,2023年07月16日
1900,付3押1,1室1厅1卫,63.6平方米,东南,中层(共28层),简单装修,普通住宅,通达新苑,河北 江都路街,3112995349618689,2023年07月16日
850,半年付,1室1厅1卫,44.5平方米,朝南,低层(共6层),简单装修,普通住宅,王园北里家园公寓,汉沽 汉沽街,2986084575468550,2023年07月16日
1600,付3押1,1室1厅1卫,23.9平方米,朝东,高层(共8层),简单装修,普通住宅,新城小区,河西 挂甲寺,3063531646786569,2023年07月16日
1300,付3押1,1室1厅1卫,36.9平方米,朝南,共4层,简单装修,普通住宅,兴华里(塘沽),塘沽 杭州道街,3113186864357383,2023年07月15日
1300,付3押1,1室1厅1卫,22平方米,朝南,共5层,简单装修,普通住宅,双山里, ,3113588433903623,2023年07月16日
1400,付3押1,2室1厅1卫,50平方米,朝南,共5层,简单装修,普通住宅,粤江里, ,3110298244210701,2023年07月16日
650,付1押1,1室0厅1卫,40平方米,南北,高层(共11层),简单装修, ,惠昊商住,武清 杨村街,3113185580524551,2023年07月16日
1300,付3押1,3室2厅1卫,110平方米,南北,高层(共6层),简单装修,普通住宅,育才里(津南),津南,3112040653167621,2023年07月15日
2000,付3押1,2室1厅1卫,71平方米,南北,中层(共6层),简单装修,普通住宅,映日嘉园,河东 二号桥,3113004106899469,2023年07月16日
2500,付3押1,2室1厅1卫,60平方米,南北,高层(共6层),简单装修,普通住宅,宾水北里,河西 天塔,3111955322756100,2023年07月16日
1300,付3押1,2室1厅1卫,76.5平方米,南北,中层(共6层),简单装修,普通住宅,城际美景,北辰 双街镇,3012986390733827,2023年07月15日
1800,付3押1,1室1厅1卫,42平方米,朝东,中层(共7层),简单装修,普通住宅,元吉里,河北 鸿顺里街,3106050829607942,2023年07月16日
1300,面议,3室2厅1卫,106平方米,朝南,高层(共6层),简单装修,普通住宅,广厦西里,武清 杨村街,3111799929364492,2023年07月16日
1400,付3押1,1室1厅1卫,56.2平方米,朝南,高层(共6层),简单装修,普通住宅,燕宇新城,红桥 西沽街,3114740444816399,2023年07月16日
1300,面议,2室2厅1卫,94.5平方米,南北,低层(共11层),简单装修,普通住宅,天锦园,宝坻 海滨街,3113227021952015,2023年07月16日
1900,付3押1,1室1厅1卫,35平方米,朝西,中层(共8层),简单装修,普通住宅,西楼北里,河西 桃园街,3114481949580298,2023年07月16日
2500,面议,1室1厅1卫,60平方米,朝南,高层(共7层),简单装修,普通住宅,景湖里,南开 学府街,3112208829848584,2023年07月16日
2300,付3押1,1室1厅1卫,68平方米,朝南,高层(共6层),简单装修,普通住宅,水蓝花园,南开 水上公园,3114687172468748,2023年07月16日
2500,付3押1,2室1厅1卫,60平方米,朝北,高层(共7层),简单装修,普通住宅,卫安南里,南开 广开街,3112078890180616,2023年07月16日
1800,付3押1,1室1厅1卫,21.3平方米,朝南,共5层,简单装修,普通住宅,平湖东里, ,3114557976879106,2023年07月16日
1500,半年付押1,2室1厅1卫,90平方米,南北,低层(共11层),简单装修,普通住宅,金河家园,东丽 大毕庄镇,3113179187504130,2023年07月16日
1900,付3押1,1室1厅1卫,41.4平方米,朝南,中层(共7层),简单装修,普通住宅,昆璞里,河北 鸿顺里街,3113217794743305,2023年07月16日
1350,付3押1,1室1厅1卫,31平方米,朝南,共5层,简单装修,普通住宅,朝阳新村, ,3093766667377667,2023年07月16日
1600,面议,1室1厅1卫,52平方米,朝北,低层(共6层),简单装修,普通住宅,舒园里,河北 宁园街,3114691086818316,2023年07月16日
1900,付3押1,1室1厅1卫,40平方米,朝南,低层(共6层),简单装修,普通住宅,康华里,红桥 铃铛阁街,3114837879233549,2023年07月16日,1900,付1押1,1室1厅1卫,40平方米,朝南,低层(共6层),精装修,普通住宅,康华里,红桥 铃铛阁街,3114837879233549,2023年07月16日
1500,付3押1,1室1厅1卫,32.4平方米,东南,中层(共7层),简单装修,普通住宅,隆新里,河北 光复道街,3113287564338188,2023年07月16日
1400,面议,2室1厅1卫,75平方米,朝南,中层(共11层),简单装修,普通住宅,风雅苑,北辰 大张庄镇,3113001939771401,2023年07月16日
1700,付3押1,1室1厅1卫,34平方米,朝北,中层(共7层),简单装修,普通住宅,同发里(和平),和平,3114886000500739,2023年07月16日,1700,付3押1,1室1厅1卫,34平方米,朝北,中层(共7层),简单装修,普通住宅,同发里(和平),和平,3114886000500739,2023年07月16日
2600,付3押1,2室1厅1卫,55平方米,朝南,中层(共6层),简单装修,普通住宅,风湖里,南开 学府街,3114557632764931,2023年07月16日,2600,付3押1,2室1厅1卫,55平方米,朝南,中层(共6层),简单装修,普通住宅,风湖里,南开 学府街,3114557632764931,2023年07月16日
950,半年付,1室1厅1卫,60平方米,朝南,共4层,简单装修,普通住宅,荷信苑, ,3111912234345474,2023年07月15日
1300,付3押1,1室1厅1卫,37.3平方米,朝南,高层(共7层),简单装修,普通住宅,西青道楼,红桥 卲公庄街,3114748864865292,2023年07月16日
2000,付3押1,1室1厅1卫,53.3平方米,南北,高层(共7层),简单装修,普通住宅,雅云里,南开 长虹街,3111618374900745,2023年07月16日
900,付3押1,2室1厅1卫,52平方米,南北,共3层,精装修,普通住宅,九龙里, ,3112140707159045,2023年07月16日
1500,付3押1,1室1厅1卫,33平方米,朝东,高层(共7层),简单装修,普通住宅,新城小区,河西 挂甲寺,3039471810733067,2023年07月16日
1300,付3押1,3室2厅2卫,105平方米,南北,低层(共8层),简单装修,普通住宅,中昂安纳西小镇,静海 团泊镇,3114853129151489,2023年07月16日
1400,付3押1,2室1厅1卫,101平方米,朝西,中层(共17层),简单装修,普通住宅,菁华津城,塘沽 胡家园街,3112013777167373,2023年07月16日
800,付3押1,1室1厅1卫,32平方米,南北,高层(共6层),简单装修,普通住宅,育才里(津南),津南,3111933358447623,2023年07月15日
1600,付3押1,1室1厅1卫,32.2平方米,朝南,中层(共6层),简单装修,普通住宅,彩霞里,南开 向阳路,3113293900111881,2023年07月16日
2300,付3押1,1室1厅1卫,46.5平方米,朝东,低层(共16层),简单装修,普通住宅,摩登天空凤仪园,南开 兴南街,3036848485379074,2023年07月16日
1800,付3押1,1室1厅1卫,40平方米,南北,低层(共6层),毛坯,普通住宅,义兴南里,南开 万兴街,3111663354782726,2023年07月16日
1300,付3押1,1室1厅0卫,58.6平方米,朝南,中层(共17层),简单装修,普通住宅,泰达海澜花园,塘沽 渤海石油街,3112087759395853,2023年07月16日
1500,付3押1,1室1厅1卫,67平方米,南北,中层(共7层),简单装修,普通住宅,园丁公寓,河西 柳林,3112234763330565,2023年07月16日
1700,面议,3室2厅1卫,127平方米,朝南,高层(共6层),简单装修,普通住宅,平安里(武清),武清,3112144584399876,2023年07月16日
900,付3押1,1室1厅1卫,38平方米,朝东,中层(共6层),简单装修,普通住宅,朝阳里(北辰),北辰,3083242323928072,2023年07月16日
2000,付3押1,2室1厅1卫,56平方米,南北,共5层,简单装修,普通住宅,密云里, ,3113401841638415,2023年07月16日
1600,付3押1,2室1厅1卫,66.5平方米,南北,高层(共6层),简单装修,普通住宅,东升里(北辰),北辰,3113236165155850,2023年07月16日
1400,付3押1,1室1厅1卫,56平方米,朝南,中层(共11层),简单装修,普通住宅,鑫港园,津南 双港,3111717534309381,2023年07月16日
1300,付3押1,2室1厅1卫,61平方米,南北,低层(共6层),简单装修,普通住宅,振业里,大港 迎宾街,3040900170424325,2023年07月16日
1400,付3押1,1室1厅1卫,64平方米,朝南,高层(共7层),简单装修,普通住宅,金凤里(北辰),北辰,3114421498567690,2023年07月16日
2400,付3押1,1室1厅1卫,36.9平方米,朝南,低层(共6层),简单装修,普通住宅,耀远里,南开 兴南街,3073690588471301,2023年07月16日
1800,面议,2室1厅1卫,57.5平方米,朝南,中层(共6层),简单装修,普通住宅,佳园南里,红桥 双环邨街,3113388313797638,2023年07月16日
1650,付1押1,1室1厅1卫,22平方米,朝西,中层(共6层),简单装修,普通住宅,春香里,南开 万兴街,3114559843312654,2023年07月16日
2900,付3押1,2室1厅1卫,59平方米,东西,共5层,简单装修,普通住宅,敬重里, ,3113799583997963,2023年07月16日
2300,付3押1,1室1厅1卫,55.9平方米,朝北,中层(共14层),简单装修,普通住宅,安德公寓,河西 桃园街,3114563221251079,2023年07月16日
1800,付3押1,2室1厅1卫,60平方米,南北,高层(共6层),简单装修,普通住宅,容彩里,河北 王串场街,3112298552091649,2023年07月16日
1300,付3押1,1室1厅1卫,57平方米,南北,中层(共6层),简单装修,普通住宅,讷河里,北辰 集贤里,3113404926747650,2023年07月16日
2100,付3押1,2室1厅1卫,50.1平方米,南北,中层(共6层),简单装修,普通住宅,月秋里,河北 鸿顺里街,3070592269870083,2023年07月16日
1300,付3押1,1室1厅1卫,59.9平方米,南北,低层(共18层),简单装修,普通住宅,辽河园,北辰 宜兴埠,3113470917452804,2023年07月16日
1400,付3押1,1室1厅1卫,38平方米,朝南,共4层,简单装修,普通住宅,兴华里(塘沽),塘沽 杭州道街,3113194428752904,2023年07月16日
2000,付3押1,2室1厅1卫,50平方米,朝南,中层(共6层),简单装修,普通住宅,彩霞里,南开 向阳路,3113425104528387,2023年07月16日
2900,付3押1,2室1厅1卫,58平方米,朝东,低层(共7层),简单装修,普通住宅,气象西里,和平 南营门,3015351561331716,2023年07月16日
2500,付3押1,2室1厅1卫,72.2平方米,东西,低层(共7层),简单装修,普通住宅,昆石里,河北 望海楼街,3109131180465161,2023年07月16日
1900,半年付,3室2厅2卫,118.4平方米,东南,高层(共11层),简单装修, ,大张庄镇,北辰 大张庄镇,2994649364683776,2023年07月16日
1600,付3押1,2室1厅1卫,92平方米,东西,高层(共6层),精装修,普通住宅,万达新城普旺里,北辰 普东街,3112084169761806,2023年07月16日
2100,付3押1,2室1厅1卫,84平方米,南北,低层(共6层),简单装修,普通住宅,任贤里,河北 铁东路街,3114460333663234,2023年07月16日
1300,付3押1,1室0厅1卫,30平方米,朝南,共5层,简单装修,普通住宅,黄埔里, ,3113113766813698,2023年07月16日
1000,面议,2室1厅1卫,86.2平方米,南北,中层(共6层),简单装修,普通住宅,泰达金色领地,宝坻 钰华街,3114678870055949,2023年07月16日
2700,付3押1,2室2厅1卫,97平方米,南北,中层(共6层),简单装修,普通住宅,瑞地里小区,南开 八里台,3113150656470028,2023年07月16日
1700,付3押1,1室1厅1卫,58.6平方米,南北,高层(共6层),简单装修,普通住宅,千禧园(西区),西区,3110526294713357,2023年07月16日
1300,付3押1,1室1厅1卫,31平方米,朝南,低层(共6层),简单装修,普通住宅,建湖里,河北 建昌道街,3114531528089613,2023年07月16日
1300,付3押1,2室1厅1卫,78平方米,南北,低层(共6层),简单装修,普通住宅,广悦里,西青 杨柳青,3113492677451781,2023年07月16日
2200,付3押1,3室1厅1卫,103平方米,南北,低层(共6层),简单装修,普通住宅,水岸华庭(西青),西青,3114600029789188,2023年07月16日
2600,付3押1,2室1厅1卫,48平方米,朝东,低层(共7层),精装修,普通住宅,雅美里,南开 长虹街,3113008285524996,2023年07月16日
1300,面议,2室2厅1卫,91.3平方米,南北,低层(共6层),简单装修,普通住宅,时代花园(蓟县),蓟县,3111649432312846,2023年07月16日
3200,付3押1,2室1厅1卫,96.7平方米,南北,高层(共6层),简单装修,普通住宅,日华里,南开 华苑,3114437480621062,2023年07月16日
1200,面议,3室2厅1卫,113平方米,南北,共5层,简单装修,普通住宅,地税公寓, ,3112116529634305,2023年07月16日
2300,付1押1,2室0厅1卫,60平方米,东北,中层(共6层),简单装修,普通住宅,稚优里,南开 水上公园,3109171857072131,2023年07月16日
2200,付3押1,2室2厅1卫,99.5平方米,朝南,低层(共6层),简单装修,普通住宅,海晶南园,塘沽 西大沽街,3114465771906059,2023年07月16日
1300,付3押1,2室1厅1卫,58平方米,朝南,中层(共8层),简单装修,普通住宅,瀛台里,北辰 果园新村,3114405842951172,2023年07月16日
1400,付3押1,1室1厅1卫,40平方米,朝南,低层(共6层),简单装修,普通住宅,天琴里,河东 富民路,3113281712644096,2023年07月16日
2100,付3押1,2室1厅1卫,66.3平方米,南北,低层(共6层),简单装修,普通住宅,潞河园,红桥 丁字沽街,3111863677559811,2023年07月16日
3300,付3押1,2室1厅1卫,58.4平方米,南北,高层(共6层),精装修,普通住宅,春梅楼,河西 下瓦房,3113346661393417,2023年07月16日
1700,付3押1,2室2厅2卫,116.4平方米,南北,高层(共7层),简单装修,普通住宅,万隆桃香园,北辰 天穆,3114469560312845,2023年07月16日
2000,付3押1,2室1厅1卫,60平方米,朝北,低层(共6层),简单装修,普通住宅,华昌南里,河东 唐口,3114452033037323,2023年07月16日
833,半年付,2室1厅1卫,77平方米,朝南,中层(共6层),简单装修,普通住宅,广建里,津南 咸水沽,3112024376908815,2023年07月14日
1300,付3押1,1室1厅1卫,58.8平方米,朝南,高层(共32层),简单装修,普通住宅,惠安花园,津南 咸水沽,3113436140904450,2023年07月16日
1600,付3押1,2室1厅1卫,73平方米,南北,中层(共6层),简单装修,普通住宅,天辰公寓,北辰 北仓,3111983061671939,2023年07月16日
1100,付3押1,2室1厅1卫,52平方米,南北,共5层,简单装修,普通住宅,同盛里(西青),西青 杨柳青,3114570380599301,2023年07月16日
900,付3押1,1室1厅1卫,47平方米,朝南,共5层,简单装修,普通住宅,三春里, ,3088286182480910,2023年07月16日
4000,付3押1,1室1厅1卫,37.5平方米,西南,低层(共6层),精装修,普通住宅,泰华里,和平 体育馆,3111929846965258,2023年07月16日
2400,付3押1,2室1厅1卫,68.2平方米,南北,中层(共6层),简单装修,普通住宅,莹津里,河北 王串场街,3114725683747846,2023年07月16日
1600,付3押1,3室2厅1卫,109平方米,南北,中层(共26层),简单装修,普通住宅,融创东岸名郡,北辰 双街镇,3090699138752526,2023年07月16日
2700,付3押1,2室1厅1卫,90平方米,南北,高层(共6层),简单装修,普通住宅,凌奥花园,南开 体育中心,3113353181207556,2023年07月16日
2000,付3押1,1室1厅1卫,40平方米,朝西,高层(共7层),简单装修,普通住宅,源德里,南开 兴南街,3114433479697419,2023年07月16日
450,面议,2室2厅1卫,86平方米,朝南,高层(共21层),毛坯,普通住宅,浩润嘉苑,宝坻 潮阳街,3113288815205376,2023年07月16日
2000,付3押1,2室1厅1卫,62平方米,朝南,中层(共6层),简单装修,普通住宅,佳春里,红桥 双环邨街,3113463003571203,2023年07月16日
1300,付1押1,1室1厅1卫,32平方米,朝南,中层(共6层),简单装修,普通住宅,南海里,河西 柳林,3112009515032582,2023年07月16日
3800,付3押1,2室1厅1卫,53平方米,南北,中层(共6层),精装修,普通住宅,存诚里,河西 下瓦房,3113351406460938,2023年07月16日
2600,面议,2室1厅1卫,45平方米,西南,高层(共15层),简单装修,普通住宅,十四经路8号院,河东 大王庄,3113330358296591,2023年07月16日
1300,付3押1,1室1厅1卫,40平方米,朝南,高层(共6层),简单装修,普通住宅,大同门西里,红桥 西于庄街,3111653510734855,2023年07月16日
1900,付3押1,2室1厅1卫,60.8平方米,东南,高层(共6层),简单装修,普通住宅,园川里,南开 嘉陵道,3113407274279943,2023年07月16日
2000,付3押1,2室1厅1卫,70.3平方米,南北,低层(共6层),简单装修,普通住宅,晓园新村,开发区 第一大街,3111675847630856,2023年07月14日
1450,付1押1,1室1厅1卫,43.5平方米,朝南,低层(共6层),简单装修,普通住宅,盛宇里,河北 王串场街,3112064407233547,2023年07月16日
1500,付3押1,1室1厅1卫,55平方米,朝南,低层(共7层),简单装修,普通住宅,宜君里,南开 向阳路,3104810447249418,2023年07月16日
600,付1押1,1室1厅1卫,30平方米,朝南,共5层,简单装修, ,校苑小区, ,2662901423860749,2023年07月16日
1450,付3押1,1室1厅1卫,35平方米,南北,低层(共7层),简单装修,普通住宅,风光里,红桥 丁字沽街,3113066407795719,2023年07月16日
2700,付3押1,1室1厅1卫,53平方米,朝西,中层(共16层),简单装修,普通住宅,摩登天空凤仪园,南开 兴南街,3098959510100994,2023年07月16日
1200,付3押1,1室1厅1卫,58.3平方米,朝南,高层(共6层),简单装修,普通住宅,宝业馨苑,津南 咸水沽,3113022943828994,2023年07月16日
1500,付3押1,2室1厅1卫,64平方米,南北,高层(共6层),简单装修,普通住宅,津塘路187号小区,河东 二号桥,3059198914289679,2023年07月16日
1500,付3押1,1室1厅1卫,43平方米,朝东,中层(共6层),简单装修,普通住宅,益鑫里,红桥 卲公庄街,3114765774298123,2023年07月16日
2200,付3押1,2室1厅2卫,88平方米,南北,高层(共6层),简单装修,普通住宅,鼎发家园,红桥 卲公庄街,3114654709751808,2023年07月16日
2000,半年付,3室2厅1卫,125平方米,朝南,中层(共11层),简单装修,普通住宅,博雅花园(津南),津南,3012882796207107,2023年07月14日
3700,付3押1,2室1厅1卫,61平方米,南北,中层(共7层),精装修,普通住宅,寿安里,和平 新兴街,3113582374642694,2023年07月16日
750,付3押1,3室1厅1卫,16平方米,朝南,低层(共10层),精装修, ,碧水家园A区,西青 侯台,2635935024835584,2023年07月16日
1100,年付押1,2室1厅1卫,58平方米,南北,共4层,简单装修,普通住宅,团结里(大港),大港 海滨,3114693944583175,2023年07月16日
1200,付3押1,1室1厅1卫,56平方米,南北,高层(共6层),简单装修,普通住宅,普天东里,北辰 北仓,3114829911121927,2023年07月16日
1500,付3押1,1室1厅1卫,35平方米,朝西,高层(共8层),简单装修,普通住宅,元兴新里,河西 桃园街,3111987775578119,2023年07月16日
2300,面议,3室2厅1卫,105.3平方米,南北,低层(共8层),精装修,普通住宅,正荣府,北辰 宜兴埠,3106042012803080,2023年07月16日
1800,付3押1,1室1厅1卫,25.9平方米,朝南,高层(共6层),简单装修,普通住宅,保康里,南开 万兴街,3114557535427586,2023年07月16日
1300,付3押1,2室1厅1卫,53平方米,南北,共4层,简单装修,普通住宅,青吉里, ,3114609325220879,2023年07月16日
600,付1押1,1室0厅1卫,26平方米,朝南,共3层, , ,远景庄园(别墅),塘沽 西大沽街,2682895813008388,2023年07月16日
1000,付3押1,2室1厅1卫,80.5平方米,朝南,高层(共6层),简单装修, ,安裕新村,蓟州 文昌街,3018254226254848,2023年07月16日
2500,付3押1,2室1厅1卫,66平方米,南北,中层(共6层),简单装修,普通住宅,红山里,河西 尖山路,3113157532326924,2023年07月16日
2000,付3押1,2室1厅1卫,60平方米,南北,中层(共6层),简单装修,普通住宅,向阳楼,河东 向阳楼,3113014178029573,2023年07月16日
5200,付3押1,3室1厅1卫,91平方米,南北,中层(共6层),精装修,普通住宅,前程里(河西),河西,3113691467177988,2023年07月16日
1500,面议,3室2厅1卫,140平方米,南北,中层(共7层),简单装修,普通住宅,泰合府,武清 黄庄街,3114736204718086,2023年07月16日
2600,付3押1,2室1厅1卫,100平方米,南北,中层(共6层),简单装修,普通住宅,金厦新都静溪园,西青 李七庄,3114484438148111,2023年07月16日
1800,付3押1,3室2厅2卫,123.1平方米,朝南,中层(共27层),精装修,普通住宅,天地源津九轩,津南 咸水沽,3113140949638144,2023年07月16日
2500,面议,1室1厅1卫,47平方米,朝西,高层(共6层),简单装修,普通住宅,航天北里,南开 学府街,3112189195609094,2023年07月14日
1700,付3押1,1室1厅1卫,24.9平方米,朝南,中层(共6层),精装修,普通住宅,健强里社区,河西 越秀路,3110604597288964,2023年07月16日
2650,付3押1,2室1厅1卫,65平方米,南北,高层(共6层),简单装修,普通住宅,风湖里,南开 学府街,3114556683985931,2023年07月16日
3700,付3押1,2室1厅1卫,67平方米,南北,中层(共6层),精装修,普通住宅,服务楼,河西 友谊路,3114562026037258,2023年07月16日,3700,付3押1,2室1厅1卫,67平方米,南北,中层(共6层),精装修,普通住宅,服务楼,河西 友谊路,3114562026037258,2023年07月16日
850,付3押1,1室1厅1卫,57平方米,朝南,低层(共18层),简单装修,普通住宅,津泊湾,静海 团泊镇,3114781522616326,2023年07月16日
1500,付3押1,3室2厅2卫,105平方米,朝南,中层(共7层),简单装修,普通住宅,禹洲御湖郡,静海 团泊镇,3113103171313672,2023年07月16日
3600,付3押1,3室1厅1卫,77平方米,朝南,高层(共6层),精装修,普通住宅,十二经路4号院,河东 大王庄,3113106244050947,2023年07月16日
1782,付1押1,1室1厅1卫,41平方米,朝南,低层(共6层),简单装修,普通住宅,元贺里,河北 鸿顺里街,3114702801050627,2023年07月16日
4100,面议,2室1厅1卫,55平方米,南北,低层(共6层),精装修,普通住宅,前程里(河西),河西,3111982843420672,2023年07月16日
1700,付3押1,1室1厅1卫,43.6平方米,朝南,低层(共6层),简单装修,普通住宅,富达里,河西 天塔,3111968801202188,2023年07月16日
1300,付3押1,2室1厅1卫,67平方米,朝南,低层(共30层),简单装修,普通住宅,和睦园,塘沽 西大沽街,3111865650126852,2023年07月16日
3100,面议,2室1厅1卫,56平方米,朝南,低层(共6层),精装修,普通住宅,卫华里(和平),和平,3113020852429837,2023年07月16日
1500,付3押1,1室1厅1卫,36.1平方米,朝南,高层(共6层),简单装修,普通住宅,金昌里小区,河东 大直沽,3093168159890438,2023年07月16日
1400,付3押1,1室1厅1卫,62平方米,朝南,中层(共22层),简单装修,普通住宅,荣悦园,北辰 青光,3111827502064651,2023年07月15日
2400,付3押1,2室1厅1卫,56平方米,朝北,中层(共14层),简单装修,普通住宅,安德公寓,河西 桃园街,3112002357877765,2023年07月16日
2000,付3押1,1室1厅1卫,51.2平方米,朝西,高层(共7层),简单装修,普通住宅,文静里,河西 马场道,3112090007264259,2023年07月16日
1700,付3押1,2室1厅1卫,53.8平方米,南北,共5层,简单装修,普通住宅,拜泉里, ,3104687893027842,2023年07月16日
1390,付3押1,3室1厅1卫,89平方米,朝南,中层(共22层),简单装修,普通住宅,鸿坤原乡郡,武清 杨村街,3111972092959747,2023年07月14日
1500,付3押1,1室1厅1卫,44.2平方米,朝南,高层(共6层),简单装修,普通住宅,天琴里,河东 富民路,3113481583174658,2023年07月16日
900,付1押1,1室1厅1卫,43平方米,朝南,共5层,精装修,普通住宅,赤龙家园, ,3113041601242117,2023年07月16日
1300,付3押1,2室1厅1卫,93平方米,朝南,中层(共27层),简单装修,普通住宅,学仕府花园(滨海),滨海,3112078838881284,2023年07月16日
1700,付1押1,1室1厅1卫,35平方米,朝南,低层(共6层),简单装修,普通住宅,东海里,河西 小海地,3114556590203916,2023年07月16日
1400,付3押1,2室1厅1卫,77平方米,南北,低层(共21层),简单装修,普通住宅,仕名公寓,北辰 北仓,3112941985390600,2023年07月16日
1700,付3押1,3室1厅1卫,99平方米,南北,中层(共6层),简单装修,普通住宅,晨晖里,大港 迎宾街,3113652895915015,2023年07月16日
1350,付1押1,1室1厅1卫,37平方米,朝南,高层(共6层),简单装修,普通住宅,华江里,河西 小海地,3111611872633870,2023年07月16日
1190,付3押1,1室1厅1卫,30平方米,朝南,高层(共7层),简单装修,普通住宅,日方里,河北 鸿顺里街,3113096967676935,2023年07月15日
3000,付3押1,2室0厅1卫,65平方米,朝北,中层(共30层),简单装修,普通住宅,三义大厦小区,河西 大营门,3113115113528329,2023年07月16日
1400,付3押1,1室1厅1卫,48.7平方米,朝南,高层(共6层),精装修,普通住宅,青春南里,红桥 西沽街,3111644159403008,2023年07月16日
1500,付3押1,2室1厅1卫,57平方米,南北,高层(共6层),简单装修,普通住宅,风致里,河西 柳林,3113503565931525,2023年07月16日
1500,付3押1,2室1厅1卫,50平方米,朝南,高层(共6层),简单装修,普通住宅,昌图楼,红桥 咸阳北路街,3113433052913665,2023年07月16日
3800,付3押1,2室1厅1卫,52.3平方米,朝西,低层(共6层),精装修,普通住宅,信华里,和平 南营门,3113441262607366,2023年07月16日
1300,付3押1,1室1厅1卫,64.6平方米,朝南,中层(共16层),简单装修,普通住宅,五一阳光锦园,武清 杨村街,3111667412771849,2023年07月16日
1250,付3押1,3室1厅1卫,98平方米,朝南,低层(共18层),简单装修,普通住宅,盛泽园,北辰 青光,3111831004390405,2023年07月16日
1500,面议,1室1厅1卫,58.7平方米,朝西,高层(共7层),简单装修,普通住宅,盛源公寓,河北 宁园街,2948935575643143,2023年07月16日
1600,付3押1,1室1厅1卫,28平方米,南北,高层(共6层),简单装修,普通住宅,华莹里,河东 春华街,3112097193091084,2023年07月16日
